loc,lastmod,image,image_loc,image_title,image_caption,sitemap,etag,sitemap_last_modified,sitemap_size_mb,download_date
https://www.masakapahariini.com/resep/resep-roti-goreng-ayam-kecap/,2018-08-10 03:00:27+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2018/08/roti_goreng_MAHI-1.jpg,roti_goreng_MAHI (1),roti goreng,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-iga-sapi-goyang-lidah/,2019-01-08 03:20:04+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/01/iga-sapi-goyang-lidah.jpg,iga-sapi-goyang-lidah,Iga sapi goyang lidah tersaji di atas piring putih.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-ayam-pop-khas-minang/,2019-04-26 08:04:26+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2018/06/AYAM-POP-FINAL-DISH.jpg,ayam_pop_MAHI,"Resep ayam pop selesai dimasak, masakan padang.",https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-tahu-isi-udang/,2019-05-01 03:00:13+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/04/udang-pun-tahu.jpg,tahu-isi-udang,Tahu Isi Udang untuk camilan.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-ayam-masak-paprika/,2019-08-07 12:17:10+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/08/ayam-masak-paprika.jpg,ayam-masak-paprika,Sajian ayam masak paprika dalam wajan.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-ravioli-goreng-isi-ayam/,2019-08-10 08:00:57+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/08/Ravioli-Goreng-Isi-Ayam.jpg,ravioli-goreng-isi-ayam,Ravioli goreng isi ayam tersaji.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-udang-manis-pedas/,2019-08-11 08:00:35+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/08/udang.jpg,udang-manis-pedas,Sepiring sajian udang manis pedas.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-bakwan-tahu/,2019-09-08 03:00:02+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/09/bakwan.jpg,bakwan-tahu,Satu piring berisi beberapa bakwan tahu dengan saus sambal.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-be-sapi-base-manis/,2019-09-29 03:00:48+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/09/be-sapi-base-manis-50356634.jpg,be-sapi-base-manis,Sepiring be sapi base manis khas Bali dengan topping potongan cabai.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
https://www.masakapahariini.com/resep/resep-semur-tempe-rawit-kemangi/,2019-10-25 03:00:53+00:00,"
			",https://www.masakapahariini.com/wp-content/uploads/2019/10/shutterstock_316340114.jpg,resep-semur-tempe-rawit-kemangi,Hasil dari resep semur tempe rawit kemangi penuh kenikmatan untuk makan siang.,https://www.masakapahariini.com/recipe-sitemap1.xml,"""c0e69888f7a307d9ef256a79ffd3c5c9""",2022-07-21 07:52:27+00:00,0.42832469940185547,2022-07-21 07:52:27.669552+00:00
